Product Name,Category,Sub-Category,Price,Competitor Price,Color,Size,Stock,Care,Texture,Finish,Feel,Quality,Notes,Important Note,Images,Project Images,Product URL
SEATTLE SOFT TAUPE,Upholstery Collections,Urban -   Full bodied heavyweight leather both rich & lux,$280.60,$405.00,CREAMY TAUPE,APPROX. 61 sq ft,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM FULL GRAIN,"Seattle combines rich color, supple soft feel and a premium top grain cowhide into a leather that exudes luxury. Seattle is a slightly heavyweight upholstery hide that is extra plush. The grain is a natural mill pebble that has subtle variations across the hide as nature intended. While very soft, Seattle is also wear resistant and appropriate for everyday use. An exceptional leather at an exceptional price! Approx weight of hide: 3.5 oz/sq.ft. Approx thickness: 1.3-1.4 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/s/e/seattle_soft_taupe_c2.jpg,"https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg",https://www.leatherhidestore.com/seattle-leather-hide.html
WILD ANTLER,Upholstery Collections,Dakota -   Rich & Durable Distress Leather!,$149.60,$242.50,WARM CREAMY BROWN WITH SOFT TAN HIGHLIGHTS,APPROX. 31 sq ft *This is a half hide,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE W/ DISTRESS EFFECT,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM TOP GRAIN,"Dakota Wild Antler is a soft and durable leather with a gorgeous distressed look! Dakota is finished with premium micro pigments making the leather highly scratch resistant! Also, due to its unique finishing process, the color and distressed look remains consistent even with ""wear and tear!"" The result is a supple, highly durable leather that is ideal for nearly every application - especially furniture and auto. LHS is proud to offer this very unique leather at true wholesale prices! Approx weight : 3.0 oz/sq.ft. Approx thickness: 1.1 - 1.3 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/d/k/dkt_6_antler_c8_1.jpg,,https://www.leatherhidestore.com/dakota-wild-antler-leather-hide.html
DARK HORSE,Upholstery Collections,Dakota -   Rich & Durable Distress Leather!,$131.20,$212.50,SOFT BLACK WITH SMOKY GREY HIGHLIGHTS,APPROX. 27 sq ft *This is a Half Hide,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE W/ DISTRESS EFFECT,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM TOP GRAIN,"Dakota Dark Horse (cowhide) is a soft and durable leather with a gorgeous distressed look! Dakota is finished with premium micro pigments making the leather highly scratch resistant! Also, due to its unique finishing process, the color and distressed look remains consistent even with ""wear and tear!"" The result is a supple, highly durable leather that is ideal for nearly every application - especially furniture and auto. LHS is proud to offer this very unique leather at true wholesale prices! Approx weight : 3.0 oz/sq.ft. Approx thickness: 1.1 - 1.3 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/d/a/dark_horse._c1_edited2_1.jpg,,https://www.leatherhidestore.com/dakota-dark-horse-leather-a.html
FOX,Upholstery Collections,Dakota -   Rich & Durable Distress Leather!,$112.80,$182.50,RICH SPICE BROWN W/ COPPER HIGHLIGHTS,APPROX. 23 sq ft *This is a Half Hide,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE W/ DISTRESS EFFECT,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM TOP GRAIN,"Dakota Fox is a soft and durable leather with a gorgeous distressed look! Dakota is finished with premium micro pigments making the leather highly scratch resistant! Also, due to its unique finishing process, the color and distressed look remain consistent even with ""wear and tear!"" The result is a supple, highly durable leather that is ideal for nearly every application - especially furniture and auto. LHS is proud to offer this very special leather at true wholesale prices! Approx. weight : 3.0 oz/sq.ft. Approx thickness: 1.1 - 1.3 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/i/m/img_0330_1.jpg,,https://www.leatherhidestore.com/dakota-fox.html
CANYON GOLD,Upholstery Collections,Dakota -   Rich & Durable Distress Leather!,$112.80,$182.50,RICH GOLDEN BROWN WITH LIGHT BROWN HIGHLIGHTS,APPROX. 23 sq ft *This is a half hide,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE W/ DISTRESS EFFECT,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM TOP GRAIN,"Dakota Canyon Gold is a soft and durable leather with a gorgeous distressed look! Dakota is finished with premium micro pigments making the leather highly scratch resistant! Also, due to its unique finishing process, the color and distressed look remains consistent even with ""wear and tear!"" The result is a supple, highly durable leather that is ideal for nearly every application - especially furniture and auto. LHS is proud to offer this very special leather at true wholesale prices! Approx weight : 3.0 oz/sq.ft. Approx thickness: 1.1 - 1.3 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/g/o/gold_rush_c1_1__1.jpg,,https://www.leatherhidestore.com/dakota-canyon-gold-hide.html
MAUI COFFEE,Upholstery Collections,Urban -   Full bodied heavyweight leather both rich & lux,$211.60,$310.50,RICH COFFEE,APPROX. 46 sq ft,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM FULL GRAIN,"Coffee combines rich color, supple soft feel and a premium top grain cowhide into a leather that exudes luxury. Coffee is a slightly heavyweight upholstery hide that is extra plush. The grain is a natural mill pebble that has subtle variations across the hide as nature intended. While very soft, Coffee is also wear resistant and appropriate for everyday use. An exceptional leather at an exceptional price! Approx weight of hide: 3.5 oz/sq.ft. Approx thickness: 1.3-1.4 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/m/a/maui_coffe_c1.jpg,,https://www.leatherhidestore.com/ul-24-maui-coffee-leather.html
CHARLESTON CREAM,Upholstery Collections,Urban -   Full bodied heavyweight leather both rich & lux,$317.40,$465.75,RICH CREAM,APPROX. 69 sq ft,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM FULL GRAIN,"Charleston combines rich color, supple soft feel and a premium top grain cowhide into a leather that exudes luxury. Charleston is a slightly heavyweight upholstery hide that is extra plush. The grain is a natural mill pebble that has subtle variations across the hide as nature intended. While very soft, Charleston is also wear resistant and appropriate for everyday use. An exceptional leather at an exceptional price! Approx weight of hide: 3.5 oz/sq.ft. Approx thickness: 1.3-1.4 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/c/h/charleston_cream_c4_1_1.jpg,"https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg",https://www.leatherhidestore.com/charleston-leather-hide.html
WINTER PRAIRIE,Upholstery Collections,Dakota -   Rich & Durable Distress Leather!,$112.80,$182.50,WARM DUSTY BROWN WITH LIGHT BROWN HIGHLIGHTS,APPROX. 23 sq ft *This is a half hide,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE W/ DISTRESS EFFECT,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM TOP GRAIN,"Dakota Winter Prairie is a soft and durable leather with a gorgeous distressed look! Dakota is finished with premium micro pigments making the leather highly scratch resistant! Also, due to its unique finishing process, the color and distressed look remains consistent even with ""wear and tear!"" The result is a supple, highly durable leather that is ideal for nearly every application - especially furniture and auto. LHS is proud to offer this very unique leather at true wholesale prices! Approx weight : 3.0 oz/sq.ft. Approx thickness: 1.1 - 1.3 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/d/k/dk_4_winter_prairie_c3_1_.jpg,,https://www.leatherhidestore.com/dakota-winter-prairie.html
Bisque,Upholstery Collections,Urban -   Full bodied heavyweight leather both rich & lux,$253.00,$371.25,Rich Warm Tan,APPROX. 55 sq ft *Photo table is 5 ft wide,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM FULL GRAIN,"Bisque combines rich color, supple soft feel, and a premium top grain cowhide into a leather that exudes luxury. Bisque is a slightly heavyweight upholstery hide that is extra plush. The grain is a natural mill pebble that has subtle variations across the hide as nature intended. While very soft, Bisque is also wear-resistant and appropriate for everyday use. An exceptional leather at an exceptional price! Approx weight of hide: 3.5 oz/sq.ft. Approx thickness: 1.3-1.4 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/n/a/natural_c4.jpg,https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg,https://www.leatherhidestore.com/bisque-leather-hide.html
MANHATTAN WHITE,Upholstery Collections,Urban -   Full bodied heavyweight leather both rich & lux,$285.20,$418.50,WHITE,APPROX. 62 sq ft *Photo table 5ft wide,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM FULL GRAIN,"Manhattan combines rich color, supple soft feel and a premium top grain cowhide into a leather that exudes luxury.  Manhattan is a slightly heavyweight upholstery hide that is extra plush. The grain is a natural mill pebble that has subtle variations across the hide as nature intended. While very soft, Manhattan is also wear resistant and appropriate for everyday use. An exceptional leather at an exceptional price! Approx weight of hide: 3.5 oz/sq.ft. Approx thickness: 1.3-1.4 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/m/a/manhattan_white_1.jpg,"https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg",https://www.leatherhidestore.com/manhattan-white-leather-hides-upholstery-1.html
SAN DIEGO BLUE,Upholstery Collections,Urban -   Full bodied heavyweight leather both rich & lux,$239.20,$351.00,DARK ROYAL BLUE,APPROX. 52 sq ft,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE,MEDIUM SHEEN,VERY SUPPLE AND SOFT,PREMIUM FULL GRAIN,"San Diego combines rich color, supple soft feel and a premium top grain cowhide into a leather that exudes luxury. San Diego is a slightly heavyweight upholstery hide that is extra plush. The grain is a natural mill pebble that has subtle variations across the hide as nature intended. While very soft, San Diego is also wear resistant and appropriate for everyday use. An exceptional leather at an exceptional price! Approx weight of hide: 3.5 oz/sq.ft. Approx thickness: 1.3-1.4 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/12fd82c655695c602ada3d34945ba732/s/a/san_diego_blue_1.jpg,"https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg",https://www.leatherhidestore.com/san-diego-blue-leather-hide.html
DETROIT COBALT,Upholstery Collections,Urban -   Full bodied heavyweight leather both rich & lux,$211.60,$310.50,COBALT BLUE,APPROX. 46 sq ft,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM FULL GRAIN,"Detroit combines rich color, supple soft feel and a premium full grain cowhide into a leather that exudes luxury. Detroit is a heavyweight upholstery leather that is extra plush. The grain is a natural mill pebble that has subtle variations across the hide as nature intended. While very soft, Detroit is also wear resistant and appropriate for everyday use. An exceptional leather at an exceptional price! Approx weight of hide: 3.5 oz/sq.ft. Approx thickness: 1.3-1.4 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/e2f1d0c3cf9dabb50da73a5b56ed1909/m/a/maxima_cobalt_5_1.jpg,"https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg",https://www.leatherhidestore.com/detroit-cobalt-leather-upholstery-hide.html
CHICAGO CAMEL,Upholstery Collections,Urban -   Full bodied heavyweight leather both rich & lux,$299.00,$425.25,WARM CAMEL,APPROX. 65 sq ft,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM FULL GRAIN,"Ideal for furniture and handbags. Chicago Camel combines rich color, supple soft feel and a premium top grain cowhide into a leather that exudes luxury. Chicago is a slightly heavyweight upholstery hide that is extra plush. The grain is a natural mill pebble that has subtle variations across the hide as nature intended. While very soft, Chicago is also wear resistant and appropriate for everyday use. An exceptional leather at an exceptional price! Approx weight of hide: 3.5 oz/sq.ft. Approx thickness: 1.3-1.4 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/c/h/chicago_camel_1.jpg,"https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg",https://www.leatherhidestore.com/chicago-camel-leather-hide.html
CHARLESTON CREAM,Upholstery Collections,Urban -   Full bodied heavyweight leather both rich & lux,$168.00,$246.25,RICH CREAM,APPROX. 35 sq ft *This is a half hide,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM FULL GRAIN,"Charleston combines rich color, supple soft feel and a premium top grain cowhide into a leather that exudes luxury. Charleston is a slightly heavyweight upholstery hide that is extra plush. The grain is a natural mill pebble that has subtle variations across the hide as nature intended. While very soft, Charleston is also wear resistant and appropriate for everyday use. An exceptional leather at an exceptional price! Approx weight of hide: 3.5 oz/sq.ft. Approx thickness: 1.3-1.4 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/c/h/charleston_cream_c4_1_2.jpg,,https://www.leatherhidestore.com/charleston-leather-hides-upholstery.html
TUCSON SPICE,Upholstery Collections,Urban -   Full bodied heavyweight leather both rich & lux,$243.80,$357.75,WARM SPICE BROWN,APPROX. 53 sq ft,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM FULL GRAIN,"Tucson combines rich color, supple soft feel and a premium top grain cowhide into a leather that exudes luxury. Tucson is a slightly heavyweight upholstery hide that is extra plush. The grain is a natural mill pebble that has subtle variations across the hide as nature intended. While very soft, Tucson is also wear resistant and appropriate for everyday use. An exceptional leather at an exceptional price! Approx weight of hide: 3.5 oz/sq.ft. Approx thickness: 1.3-1.4 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/t/u/tucson_spice_1.jpg,"https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg",https://www.leatherhidestore.com/tucson-spice-leather-hides.html
DALLAS BLACK,Upholstery Collections,Urban -   Full bodied heavyweight leather both rich & lux,$239.20,$390.00,BLACK,APPROX. 52 sq ft,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM FULL GRAIN,"Dallas combines rich color, supple soft feel and a premium top grain cowhide into a leather that exudes luxury. Dallas is a mid-heavyweight upholstery hide that is extra plush. The grain is a natural mill pebble that has subtle variations across the hide as nature intended. While very soft, Dallas is also wear resistant and appropriate for everyday use. An exceptional leather at an exceptional price! Approx weight of hide: 3.5 oz/sq.ft. Approx thickness: 1.3-1.4 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/d/a/dallas_4_6.jpg,"https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg, https://www.leatherhidestore.com/pub/media/lof/lazyload/default/loader.svg",https://www.leatherhidestore.com/dallas-black-leather-upholstery-hide.html
SMOKE,Upholstery Collections,Urban -   Full bodied heavyweight leather both rich & lux,$312.80,$459.00,LIGHT SMOKEY GREY,APPROX. 68 sq ft *Photo table is 5 ft wide,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM FULL GRAIN,"Urban Smoke combines rich color, supple soft feel and a premium top grain cowhide into a leather that exudes luxury. Smoke is a slightly heavyweight upholstery hide that is extra plush. The grain is a natural mill pebble that has subtle variations across the hide as nature intended. While very soft, Smoke is also wear resistant and appropriate for everyday use. An exceptional leather at an exceptional price! Approx weight of hide: 3.5 oz/sq.ft. Approx thickness: 1.3-1.4 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/a/t/atlas_smoke_c1.jpg,,https://www.leatherhidestore.com/smoke-leather-hide.html
Bisque,Upholstery Collections,Urban -   Full bodied heavyweight leather both rich & lux,$117.40,$172.00,RICH WARM TAN,APPROX. 24 sq ft *This is a half hide,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM FULL GRAIN,"Bisque combines rich color, supple soft feel, and a premium top grain cowhide into a leather that exudes luxury. Bisque is a slightly heavyweight upholstery hide that is extra plush. The grain is a natural mill pebble that has subtle variations across the hide as nature intended. While very soft, Bisque is also wear resistant and appropriate for everyday use. An exceptional leather at an exceptional price! Approx weight of hide: 3.5 oz/sq.ft. Approx thickness: 1.3-1.4 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/n/a/natural_c4_1.jpg,,https://www.leatherhidestore.com/25a-bisque-leather-hide.html
SADDLE BAG,Upholstery Collections,Dakota -   Rich & Durable Distress Leather!,$145.00,$235.00,RICH SADDLE BROWN WITH LIGHT BROWN HIGHLIGHTS,APPROX. 30 sq ft *This is a half hide,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE W/ DISTRESS EFFECT,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM TOP GRAIN,"Dakota Saddle Bag is a soft and durable leather with a gorgeous distressed look! Dakota is finished with premium micro pigments making the leather highly scratch resistant! Also, due to its unique finishing process, the color and distressed look remains consistent even with ""wear and tear!"" The result is a supple, highly durable leather that is ideal for nearly every application - especially furniture and auto. LHS is proud to offer this very unique leather at true wholesale prices! Approx weight : 3.0 oz/sq.ft. Approx thickness: 1.1 - 1.3 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/d/k/dk_3_saddle_c7_1__1.jpg,,https://www.leatherhidestore.com/dakota-saddle-bag-brown.html
MAUI COFFEE,Upholstery Collections,Urban -   Full bodied heavyweight leather both rich & lux,$112.80,$165.25,RICH COFFEE,APPROX. 23 sq ft *This is a half hide,STOCK ITEM,STANDARD,NATURAL MILL PEBBLE,MEDIUM SHEEN,SUPPLE AND SOFT,PREMIUM FULL GRAIN,"Coffee combines rich color, supple soft feel and a premium top grain cowhide into a leather that exudes luxury. Coffee is a slightly heavyweight upholstery hide that is extra plush. The grain is a natural mill pebble that has subtle variations across the hide as nature intended. While very soft, Coffee is also wear resistant and appropriate for everyday use. An exceptional leather at an exceptional price! Approx weight of hide: 3.5 oz/sq.ft. Approx thickness: 1.3-1.4 mm","Because our cowhides are premium top grain leather, natural markings such as brands, finished scratches / bites, and hump holes (a narrow slit along the spine) may OR may not be present. Typically, these markings are very subtle and are considered by most as the ""signature"" of fine leather. See our  leather yield  and  natural markings  pages to learn more about what you should expect when buying a leather hide.Â ",https://www.leatherhidestore.com/pub/media/catalog/product/cache/5ee108ab0b97236a519dbc7beda955ae/m/a/maui_coffe_c1_1.jpg,,https://www.leatherhidestore.com/ul-24-maui-coffee-leather-1.html
